                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1762,                 3.4921,                 4.2028,                0.00466,                0.67531,                0.01477,                 0.0067,                 2.8099,                 3.2261,                 4.1345,                0.00048,                0.00048,                0.00048
                      2,                 3.1393,                  3.354,                 4.0737,                0.00454,                0.68213,                0.02424,                0.00972,                 2.7545,                 3.1965,                 3.8743,              0.0009703,              0.0009703,              0.0009703
                      3,                 3.0494,                 3.2921,                 3.8346,                0.02573,                0.49795,                0.04634,                0.01558,                 2.7578,                   4.16,                 3.6915,              0.0014507,              0.0014507,              0.0014507
                      4,                 2.8765,                 3.2048,                  3.589,                0.05509,                0.18963,                0.03164,                0.01086,                 3.2476,                 3.4132,                 4.9156,              0.0019212,              0.0019212,              0.0019212
                      5,                 2.7542,                 3.1927,                  3.427,                0.07087,                0.11323,                0.03825,                0.01401,                 2.7676,                 3.3884,                 4.1565,              0.0019208,              0.0019208,              0.0019208
                      6,                 2.6054,                 3.0919,                 3.2697,                0.12312,                0.17599,                0.07259,                0.02085,                 2.6159,                 4.0039,                 3.4857,               0.001901,               0.001901,               0.001901
                      7,                 2.5825,                 3.0724,                 3.1845,                 0.1169,                0.17326,                0.06465,                0.02129,                 2.4981,                 4.6484,                 3.4037,              0.0018812,              0.0018812,              0.0018812
                      8,                 2.4876,                 2.9935,                 3.0593,                0.08356,                0.15553,                0.04709,                0.01523,                  2.516,                   3.17,                 3.4772,              0.0018614,              0.0018614,              0.0018614
                      9,                 2.4771,                 2.9002,                 3.0386,                0.12947,                 0.1869,                0.07643,                0.01872,                 2.5898,                 8.1337,                 3.1745,              0.0018416,              0.0018416,              0.0018416
                     10,                 2.4389,                  2.897,                 2.9712,                0.10399,                0.04366,                0.01857,                0.00578,                 2.7265,                 3.3493,                 4.0564,              0.0018218,              0.0018218,              0.0018218
                     11,                 2.3778,                 2.7559,                 2.9305,                0.20965,                0.27694,                0.15114,                0.05668,                   2.36,                 2.6436,                 3.2179,               0.001802,               0.001802,               0.001802
                     12,                 2.3052,                 2.6509,                   2.86,                 0.1966,                0.26603,                0.11123,                0.04208,                 2.2726,                 2.7195,                 3.0845,              0.0017822,              0.0017822,              0.0017822
                     13,                 2.2519,                 2.5626,                 2.8059,                0.18084,                0.25239,                0.11823,                0.04106,                 2.2231,                 2.7365,                 3.0347,              0.0017624,              0.0017624,              0.0017624
                     14,                 2.1983,                 2.5071,                 2.7354,                 0.3282,                0.33288,                 0.2472,                0.09657,                 2.1448,                 2.4788,                 2.7746,              0.0017426,              0.0017426,              0.0017426
                     15,                 2.1726,                 2.4931,                  2.705,                0.24627,                 0.4161,                0.19029,                0.07181,                 2.1304,                 2.6082,                 2.7717,              0.0017228,              0.0017228,              0.0017228
